日期,平均温度
"	2019-09-15",22.5
"	2019-09-16",21.5
"	2019-09-17",22
"	2019-09-18",19
"	2019-09-19",20.5
"	2019-09-20",21.5
"	2019-09-21",21.5
"	2019-09-22",21.5
"	2019-09-23",23.5
"	2019-09-24",23
"	2019-09-25",23.5
"	2019-09-26",22.5
"	2019-09-27",22
"	2019-09-28",23.5
"	2019-09-29",23.5
"	2019-09-30",24.5
"	2019-10-01",25
"	2019-10-02",23
"	2019-10-03",21
"	2019-10-04",12
"	2019-10-05",14
"	2019-10-06",14
"	2019-10-07",17
"	2019-10-08",14.5
"	2019-10-09",16.5
"	2019-10-10",17
"	2019-10-11",15.5
"	2019-10-12",13.5
"	2019-10-13",8.5
"	2019-10-14",10
"	2019-10-15",11.5
"	2019-10-16",12
"	2019-10-17",10.5
"	2019-10-18",12.5
"	2019-10-19",15
"	2019-10-20",14.5
"	2019-10-21",12.5
"	2019-10-22",13.5
"	2019-10-23",16
"	2019-10-24",11.5
"	2019-10-25",8
"	2019-10-26",9.5
"	2019-10-27",11.5
"	2019-10-28",8.5
"	2019-10-29",9.5
"	2019-10-30",12.5
"	2019-10-31",13
"	2019-11-01",13
"	2019-11-02",10.5
"	2019-11-03",9
"	2019-11-04",10.5
"	2019-11-05",11
"	2019-11-06",10.5
"	2019-11-07",6.5
"	2019-11-08",8.5
"	2019-11-09",10
"	2019-11-10",11.5
"	2019-11-11",10
"	2019-11-12",11.5
"	2019-11-13",2
"	2019-11-14",4
"	2019-11-15",5
"	2019-11-16",6.5
"	2019-11-17",4
"	2019-11-18",-0.5
"	2019-11-19",2
"	2019-11-20",2.5
"	2019-11-21",4
"	2019-11-22",6
"	2019-11-23",8
"	2019-11-24",0.5
"	2019-11-25",-1
"	2019-11-26",0.5
"	2019-11-27",-1
"	2019-11-28",-1
"	2019-11-29",-0.5
"	2019-11-30",0
"	2019-12-01",-0.5
"	2019-12-02",-0.5
"	2019-12-03",1.5
"	2019-12-04",1.5
"	2019-12-05",-2
"	2019-12-06",-0.5
"	2019-12-07",0
"	2019-12-08",0
"	2019-12-09",-1
"	2019-12-10",3
"	2019-12-11",-1
"	2019-12-12",0
"	2019-12-13",2.5
"	2019-12-14",1
"	2019-12-15",0.5
"	2019-12-16",-1
"	2019-12-17",-0.5
"	2019-12-18",-2
"	2019-12-19",-3.5
"	2019-12-20",-2
"	2019-12-21",-1
"	2019-12-22",0
"	2019-12-23",-0.5
"	2019-12-24",-2.5
"	2019-12-25",-0.5
"	2019-12-26",-1.5
"	2019-12-27",-1
"	2019-12-28",-2
"	2019-12-29",-1
"	2019-12-30",-8.5
"	2019-12-31",-6.5
