日期,平均温度
"	2017-06-25",25
"	2017-06-26",27
"	2017-06-27",28
"	2017-06-28",28.5
"	2017-06-29",29.5
"	2017-06-30",30
"	2017-07-01",30
"	2017-07-02",29.5
"	2017-07-03",29.5
"	2017-07-04",27
"	2017-07-05",26.5
"	2017-07-06",24
"	2017-07-07",27.5
"	2017-07-08",29.5
"	2017-07-09",28.5
"	2017-07-10",27.5
"	2017-07-11",31
"	2017-07-12",31.5
"	2017-07-13",30.5
"	2017-07-14",28
"	2017-07-15",29
"	2017-07-16",29.5
"	2017-07-17",29.5
"	2017-07-18",29
"	2017-07-19",28
"	2017-07-20",29
"	2017-07-21",25
"	2017-07-22",26
"	2017-07-23",26
"	2017-07-24",26
"	2017-07-25",25.5
"	2017-07-26",22
"	2017-07-27",25.5
"	2017-07-28",26
"	2017-07-29",26
"	2017-07-30",26
"	2017-07-31",27
"	2017-08-01",27
"	2017-08-02",26
"	2017-08-03",28.5
"	2017-08-04",30.5
"	2017-08-05",27.5
"	2017-08-06",29
"	2017-08-07",29.5
"	2017-08-08",27.5
"	2017-08-09",26.5
"	2017-08-10",28
"	2017-08-11",28
"	2017-08-12",26.5
"	2017-08-13",26
"	2017-08-14",26.5
"	2017-08-15",26.5
"	2017-08-16",25
"	2017-08-17",25.5
"	2017-08-18",25.5
"	2017-08-19",25.5
"	2017-08-20",26.5
"	2017-08-21",28
"	2017-08-22",25
"	2017-08-23",26.5
"	2017-08-24",26.5
"	2017-08-25",25.5
"	2017-08-26",23.5
"	2017-08-27",20
"	2017-08-28",22.5
"	2017-08-29",20.5
"	2017-08-30",23
"	2017-08-31",23
"	2017-09-01",23
"	2017-09-02",22.5
"	2017-09-03",23.5
"	2017-09-04",24
"	2017-09-05",24.5
"	2017-09-06",24.5
"	2017-09-07",25
"	2017-09-08",25
"	2017-09-09",25.5
"	2017-09-10",23.5
"	2017-09-11",22.5
"	2017-09-12",24
"	2017-09-13",23.5
"	2017-09-14",24
"	2017-09-15",23
"	2017-09-16",23
"	2017-09-17",22.5
"	2017-09-18",24
"	2017-09-19",22
"	2017-09-20",20.5
"	2017-09-21",23
"	2017-09-22",21
"	2017-09-23",22.5
"	2017-09-24",23.5
"	2017-09-25",23
"	2017-09-26",18
"	2017-09-27",16.5
"	2017-09-28",16.5
"	2017-09-29",18
"	2017-09-30",21.5
"	2017-10-01",19.5
"	2017-10-02",13.5
"	2017-10-03",14.5
"	2017-10-04",16
"	2017-10-05",16
"	2017-10-06",17.5
"	2017-10-07",16.5
"	2017-10-08",15.5
"	2017-10-09",12
"	2017-10-10",8.5
"	2017-10-11",11
"	2017-10-12",13.5
"	2017-10-13",13.5
"	2017-10-14",11
"	2017-10-15",12
"	2017-10-16",12.5
"	2017-10-17",13.5
"	2017-10-18",12
"	2017-10-19",13.5
"	2017-10-20",15.5
"	2017-10-21",14
"	2017-10-22",10
"	2017-10-23",10.5
"	2017-10-24",13
"	2017-10-25",12
"	2017-10-26",13
"	2017-10-27",13.5
"	2017-10-28",10.5
"	2017-10-29",6.5
"	2017-10-30",8
"	2017-10-31",10
"	2017-11-01",11
"	2017-11-02",10
"	2017-11-03",6.5
"	2017-11-04",8.5
"	2017-11-05",9.5
"	2017-11-06",9.5
"	2017-11-07",11
"	2017-11-08",8.5
"	2017-11-09",9
"	2017-11-10",5
"	2017-11-11",5
"	2017-11-12",5.5
"	2017-11-13",6
"	2017-11-14",2
"	2017-11-15",2
"	2017-11-16",3
"	2017-11-17",1
"	2017-11-18",-0.5
"	2017-11-19",1
"	2017-11-20",3
"	2017-11-21",3
"	2017-11-22",1
"	2017-11-23",1.5
"	2017-11-24",1
"	2017-11-25",1.5
"	2017-11-26",0
"	2017-11-27",2
"	2017-11-28",1
"	2017-11-29",-2.5
"	2017-11-30",-0.5
"	2017-12-01",0
"	2017-12-02",1
"	2017-12-03",0
"	2017-12-04",-1
"	2017-12-05",1.5
"	2017-12-06",2
"	2017-12-07",0
"	2017-12-08",1
"	2017-12-09",1
"	2017-12-10",-0.5
"	2017-12-11",-3.5
"	2017-12-12",-4.5
"	2017-12-13",-2.5
"	2017-12-14",-2
"	2017-12-15",-1
"	2017-12-16",-4
"	2017-12-17",0
"	2017-12-18",0
"	2017-12-19",0
"	2017-12-20",0.5
"	2017-12-21",0.5
"	2017-12-22",1.5
"	2017-12-23",1.5
"	2017-12-24",-1
"	2017-12-25",0.5
"	2017-12-26",-1.5
"	2017-12-27",-0.5
"	2017-12-28",0.5
"	2017-12-29",0.5
"	2017-12-30",0
"	2017-12-31",-1
