日期,平均温度
"	2023-07-25",29
"	2023-07-26",29
"	2023-07-27",28.5
"	2023-07-28",26.5
"	2023-07-29",26
"	2023-07-30",22.5
"	2023-07-31",25
"	2023-08-01",26.5
"	2023-08-02",28.5
"	2023-08-03",29
"	2023-08-04",30
"	2023-08-05",30.5
"	2023-08-06",25.5
"	2023-08-07",25
"	2023-08-08",27.5
"	2023-08-09",28.5
"	2023-08-10",27.5
"	2023-08-11",26
"	2023-08-12",26.5
"	2023-08-13",28.5
"	2023-08-14",29.5
"	2023-08-15",29
"	2023-08-16",29.5
"	2023-08-17",28.5
"	2023-08-18",29
"	2023-08-19",29
"	2023-08-20",28
"	2023-08-21",25.5
"	2023-08-22",25.5
"	2023-08-23",26
"	2023-08-24",20
"	2023-08-25",24.5
"	2023-08-26",24
"	2023-08-27",23
"	2023-08-28",24
"	2023-08-29",23.5
"	2023-08-30",25
"	2023-08-31",23.5
"	2023-09-01",25
"	2023-09-02",24
"	2023-09-03",25.5
"	2023-09-04",26
"	2023-09-05",27
"	2023-09-06",27
"	2023-09-07",27
"	2023-09-08",25
"	2023-09-09",21.5
"	2023-09-10",22
"	2023-09-11",24
"	2023-09-12",21.5
"	2023-09-13",21.5
"	2023-09-14",22.5
"	2023-09-15",23
"	2023-09-16",24
"	2023-09-17",24
"	2023-09-18",24.5
"	2023-09-19",19.5
"	2023-09-20",21
"	2023-09-21",22
"	2023-09-22",21.5
"	2023-09-23",20
"	2023-09-24",18
"	2023-09-25",18.5
"	2023-09-26",20
"	2023-09-27",20.5
"	2023-09-28",20.5
"	2023-09-29",20.5
"	2023-09-30",18
"	2023-10-01",18.5
"	2023-10-02",18.5
"	2023-10-03",20
"	2023-10-04",16.5
"	2023-10-05",16.5
"	2023-10-06",16.5
"	2023-10-07",16.5
"	2023-10-08",17
"	2023-10-09",16.5
"	2023-10-10",16.5
"	2023-10-11",17.5
"	2023-10-12",16
"	2023-10-13",15.5
"	2023-10-14",17
"	2023-10-15",15
"	2023-10-16",14.5
"	2023-10-17",17.5
"	2023-10-18",16.5
"	2023-10-19",13
"	2023-10-20",11.5
"	2023-10-21",14
"	2023-10-22",15
"	2023-10-23",14
"	2023-10-24",16
"	2023-10-25",18.5
"	2023-10-26",14
"	2023-10-27",14.5
"	2023-10-28",15
"	2023-10-29",15
"	2023-10-30",16.5
"	2023-10-31",16
"	2023-11-01",17
"	2023-11-02",14.5
"	2023-11-03",11.5
"	2023-11-04",13
"	2023-11-05",8
"	2023-11-06",4
"	2023-11-07",7
"	2023-11-08",8
"	2023-11-09",3
"	2023-11-10",0.5
"	2023-11-11",2.5
"	2023-11-12",1
"	2023-11-13",2
"	2023-11-14",4.5
"	2023-11-15",5.5
"	2023-11-16",5
"	2023-11-17",3.5
"	2023-11-18",5.5
"	2023-11-19",8.5
"	2023-11-20",8
"	2023-11-21",7.5
"	2023-11-22",7
"	2023-11-23",-3.5
"	2023-11-24",-2.5
"	2023-11-25",-2.5
"	2023-11-26",-1.5
"	2023-11-27",2.5
"	2023-11-28",0
"	2023-11-29",-2
"	2023-11-30",-1.5
"	2023-12-01",-1.5
"	2023-12-02",2.5
"	2023-12-03",2.5
"	2023-12-04",3.5
"	2023-12-05",3.5
"	2023-12-06",4.5
"	2023-12-07",3.5
"	2023-12-08",5
"	2023-12-09",2.5
"	2023-12-10",-2
"	2023-12-11",-4
"	2023-12-12",-3
"	2023-12-13",-3
"	2023-12-14",-5
"	2023-12-15",-8.5
"	2023-12-16",-11.5
"	2023-12-17",-10
"	2023-12-18",-8
"	2023-12-19",-9
"	2023-12-20",-11
"	2023-12-21",-9
"	2023-12-22",-7
"	2023-12-23",-4.5
"	2023-12-24",-4.5
"	2023-12-25",-3
"	2023-12-26",-2
"	2023-12-27",-3.5
"	2023-12-28",-2
"	2023-12-29",-1.5
"	2023-12-30",0
"	2023-12-31",-1.5
