书籍名称,国家,作者,时间,书籍评分,评分人数
人间草木,,汪曾祺,2005/1/1,9.2,34302
梦里花落知多少,,三毛,2007/6/1,8.8,99178
"时间简史

                
                   : 插图本",英,史蒂芬·霍金,2010/4/1,8.9,63628
"平面国

                
                   : 多维空间传奇往事",英,埃德温·A.艾勃特,2020/8/1,9.2,25690
王尔德童话,英,王尔德,2003/6/1,9.1,24685
"我的天才女友

                
                   : 那不勒斯四部曲1",意,埃莱娜·费兰特,2017/1/1,8.7,122518
"13 67

                
                   : 陳浩基作品2",,,,9.1,23465
小径分岔的花园,,,,8.9,49779
这些人，那些事,,吴念真,2011/9/1,8.8,68366
金色梦乡,日,伊坂幸太郎,2010/9/1,9,31858
"昨日的世界

                
                   : 一个欧洲人的回忆",奥,斯特凡·茨威格,2018/7/1,9.4,16573
一句顶一万句,,,,8.8,90085
地下室手记,,,,9.2,28566
你当像鸟飞往你的山,,塔拉·韦斯特弗,2019/10/1,8.7,200817
绿毛水怪,,王小波,2009/1/1,9.1,26001
2001：太空漫游: 《太空漫游四部曲》第1部,英,阿瑟·克拉克,2019/4/10,9.3,23693
檀香刑,,莫言,2017/1/1,9.3,35196
故事: 材质·结构·风格和银幕剧作的原理,美,罗伯特·麦基,2014/9/1,9.2,20334
海的女儿,,,,9.2,25388
鹿川有许多粪,,李沧东,2021/8/1,8.9,36840
经济学原理（上下）,美,曼昆,2003/8/1,9.1,22811
安娜·卡列尼娜,俄,列夫·托尔斯泰,2007/8/1,9.2,31766
长日将尽,,,,8.9,39810
國史大綱（上下）,,錢穆,2013/8/1,9.4,16811
阿勒泰的角落,,李娟,2010/6/1,9.1,22679
强风吹拂,,三浦紫苑,2015/1/1,9,30013
一个陌生女人的来信,奥,斯蒂芬·茨威格,2007/7/1,8.7,149777
明亮的夜晚,,,,9,35642
万水千山走遍,,,,8.9,47051
苏菲的世界,挪,乔斯坦·贾德,2007/10/1,8.8,60428
史蒂夫·乔布斯传,美,沃尔特·艾萨克森,2011/10/24,8.8,62487
爱的艺术,美,艾·弗洛姆,2008/4/1,8.8,52212
草房子,,曹文轩,2009/6/1,9,56318
德米安: 埃米尔·辛克莱的彷徨少年时,德,赫尔曼·黑塞,2009/3/1,8.9,40390
半生缘: 张爱玲全集04——小说,,张爱玲,2012/6/1,9.1,34412
我不知道该说什么，关于死亡还是爱情 来自切尔诺贝利的声音,白俄罗斯,S·A·阿列克谢耶维奇,2014/6/15,9.2,20785
球状闪电,中国,刘慈欣,2005/6/1,8.7,91260
恶意,日本,东野圭吾,2016/11/1,8.7,140545
亮剑,中国,都梁,2005/3/1,9,32188
温柔的夜,中国,三毛,2007/5/1,9.1,24326
霸王别姬,中国,李碧华,1999/1/1,9.1,23141
全球通史(上): 从史前史到21世纪,中国,,,9.2,19799
不能承受的生命之轻: 中文全译本百万纪念版,中国,米兰·昆德拉,2010/8/1,8.8,48533
翦商: 殷周之变与华夏新生,中国,李硕,2022/10/1,9,32277
冰与火之歌: （1-5卷：权力的游戏、列王的纷争、冰雨的风暴、群鸦的盛宴、魔龙的狂,美国,乔治·R.R.马丁,2013/10/1,9.5,19799
古文观止,中国,吴楚材,1987/1/1,9.1,19552
我的阿勒泰,中国,李娟,2010/7/1,8.9,31123
生死疲劳,中国,莫言,2022/1/1,9,48513
天朝的崩溃: 鸦片战争再研究（修订版）,中国,茅海建,2014/10/1,9.4,15383
麦琪的礼物: 欧·亨利短篇小说经典,美国,欧·亨利,2003/7/1,8.7,77215
倾城之恋: 张爱玲全集01——小说,中国,张爱玲,2012/6/1,8.9,42037
东晋门阀政治,中国,田余庆,2012/5/1,9.5,14755
社会心理学: （第8版）,美,戴维·迈尔斯,2006/1/1,9,27724
激荡三十年（上）: 中国企业1978-2008,中国,,,8.8,32768
我也有一个梦想: 近距离看美国之三,中国,林达,2004/8/1,9,16397
一桩事先张扬的凶杀案,哥伦比亚,加西亚·马尔克斯,2013/6/1,8.8,55981
海风中失落的血色馈赠,,,,9,21636
亲密关系（第6版）,美国,罗兰·米勒 (Rowland S. Miller),2015/6/1,9.2,28463
天生有罪: 特雷弗·诺亚的变色人生,,,,9,22094
