bookname,author,year,score,population,url,comment
变形记,[奥地利] 弗朗茨·卡夫卡,2020,9.2,15120,https://book.douban.com/subject/35218475/,
六小时后你会死,[日] 高野和明,2024,7.1,2143,https://book.douban.com/subject/36628430/,
边城,沈从文、黄永玉 卓雅 插图.,2002,8.7,234600,https://book.douban.com/subject/1057244/,
杀死一只知更鸟,[美] 哈珀·李,2012,9.2,152199,https://book.douban.com/subject/6781808/,
挽救计划,[美] 安迪·威尔,2021,9.1,13473,https://book.douban.com/subject/35494160/,
第七天,余华,2018,8.2,54929,https://book.douban.com/subject/30259153/,
出版禁止,[日] 长江俊和,2024,7.7,466,https://book.douban.com/subject/36952612/,
第十三位陪审员,[英] 史蒂夫·卡瓦纳,2024,9.3,206,https://book.douban.com/subject/37000496/,
哈利·波特,J.K.罗琳 (J.K.Rowling),2008,9.7,115970,https://book.douban.com/subject/24531956/,
斯大林格勒,[苏] 瓦西里·格罗斯曼,2024,9.1,100,https://book.douban.com/subject/36985269/,
我想，没那么糟,[美]伊丽莎白·斯特劳特,2024,8.2,145,https://book.douban.com/subject/36884862/,
兄弟,余华,2012,8.5,82892,https://book.douban.com/subject/20441957/,
仙症,郑执,2020,8.1,17782,https://book.douban.com/subject/35216559/,
都柏林人,[爱尔兰] 詹姆斯·乔伊斯,2010,8.7,12743,https://book.douban.com/subject/4908872/,
最后一个死去的女孩,[美] 哈里·多兰,2024,7.7,1906,https://book.douban.com/subject/36782247/,
三国演义（全二册）,[明] 罗贯中,1998,9.3,173065,https://book.douban.com/subject/1019568/,
倾城之恋,张爱玲,2019,9.2,13895,https://book.douban.com/subject/30294357/,
黄金时代,王小波,1999,8.9,169776,https://book.douban.com/subject/1089243/,
孽子,白先勇,2010,9.2,50950,https://book.douban.com/subject/5337254/,
小王子,[法] 圣埃克苏佩里、[法国] 安东尼·德·圣-埃克苏佩里,2003,9.1,769815,https://book.douban.com/subject/1084336/,
白露春分,辽京,2024,8.9,292,https://book.douban.com/subject/37013775/,
我本芬芳,杨本芬,2022,8.2,44486,https://book.douban.com/subject/35695541/,
月亮与六便士,[英] 威廉·萨默塞特·毛姆,2017,8.7,225860,https://book.douban.com/subject/26954760/,
地下室手记,(俄罗斯) 陀思妥耶夫斯基,2020,9.2,28572,https://book.douban.com/subject/34990839/,
刀锋,[英]毛姆,2007,9.0,95449,https://book.douban.com/subject/2035162/,
檀香刑,莫言,2017,9.3,35201,https://book.douban.com/subject/26905337/,
半生缘,张爱玲,2012,9.1,34416,https://book.douban.com/subject/10757938/,
十八岁出门远行,余华,2024,7.2,9488,https://book.douban.com/subject/36727285/,
枭起青壤,尾鱼,2024,8.4,1884,https://book.douban.com/subject/36584894/,
木偶的恨意,[法] 米歇尔·普西,2024,6.3,135,https://book.douban.com/subject/37017209/,
在熙，燒酒，我，還有冰箱裡的藍莓與菸,朴相映,2023,8.7,153,https://book.douban.com/subject/37082629/,
哈利·波特与密室,[英] J. K. 罗琳,2000,9.0,135137,https://book.douban.com/subject/1039487/,
显微镜下的大明,马伯庸,2019,8.7,49619,https://book.douban.com/subject/30414743/,
燃烧的蜂鸟：迷案1985,法医秦明,2024,7.6,835,https://book.douban.com/subject/36971608/,
寂寞的游戏,袁哲生,2017,8.4,40961,https://book.douban.com/subject/27104286/,
文城,余华,2021,7.9,63709,https://book.douban.com/subject/35335514/,
追诉时效倒计时,[日]  横山秀夫,2024,8.0,1598,https://book.douban.com/subject/36462621/,
失明症漫记,[葡] 若泽·萨拉马戈,2014,9.1,40741,https://book.douban.com/subject/20428302/,
台北人,白先勇,2015,9.1,24169,https://book.douban.com/subject/26253699/,
穆斯林的葬礼,霍达,1988,8.0,162344,https://book.douban.com/subject/1082334/,
索拉里斯星,[波] 斯坦尼斯瓦夫·莱姆,2021,8.5,29189,https://book.douban.com/subject/35049755/,
跑去她的世界,夏桑,2024,7.3,533,https://book.douban.com/subject/36998357/,
白鹿原,陈忠实,2012,9.2,114021,https://book.douban.com/subject/10564071/,
基本粒子,[法] 米歇尔·维勒贝克,2024,8.3,283,https://book.douban.com/subject/36864734/,
灵隐,葛亮,2024,7.2,774,https://book.douban.com/subject/36982815/,
